"","Label","Synonyms","MeSH Frequency"
"10168","Ergocalciferols","Vitamin D 2|Ergocalciferol|Vitamin D2|D2, Vitamin|Calciferols",NA
"10169","acinetoferrin",NA,6
"10170","Cerebrovascular Trauma","Injury, Brain Vascular|Injury, Vascular, Brain|Brain Vascular Injury|Brain Injury, Vascular|Brain Vascular Trauma|Vascular Brain Injuries|Brain Injuries, Vascular|Trauma, Cerebrovascular|Vascular Trauma, Brain|Vascular Brain Injury|Vascular Injury, Brain|Injuries, Brain Vascular|Vascular Traumas, Brain",NA
"10171","Body Composition","Compositions, Body|Body Compositions|Composition, Body",NA
"10172","TPH spectrum",NA,110
"10173","nitrosylcobalamin","nitrosyl-B12",11
"10174","dinitrophenyl gamma globulin","DNPBGG|dinitrophenyl-bovine gamma-globulin",22
"10175","Radiation Protection","Protection, Radiation",NA
"10176","difenoxin","difenoxin hydrochloride|difenoxin hydrochloride, 14C-labeled|diphenoxylic acid",6
"10177","amfenac","AHR 5850|amfenac sodium|amfenac calcium salt (2:1)|2-amino-3-benzoylbenzeneacetic acid, monosodium salt, monohydrate|amfenac monosodium salt",19
"10178","Innovar","Innovar-Vet|talamonal|Thalamonal|fentanyl-droperidol|leptofen|N-phenyl-N-(1-(2-phenylethyl)-4-piperidinyl)propanamide. 2-hydroxy-1,2,3-propanetricarboxylate mixt. with 1-(1-(4-(4-fluorophenyl)-4-oxobutyl)-1,2,3,6- tetrahydro-4-pyridinyl)-1,3-dihydro-2H-benzimidazol- 2-one",94
"10179","bisorbibutenolide","bislongiquinolide",4
"10180","Katoxyn","Peroxide, dibenzoyl, mixt. with silver (9CI)|Katoxyn spray",6
"10181","Thrombin Time","Times, Thrombin|Time, Reptilase|Thrombin Times|Reptilase Times|Times, Reptilase|Reptilase Time|Time, Thrombin",NA
"10182","Desulfuromonas",NA,NA
"10183","curarine","curarine diiodide, (1'alpha)-isomer|curarine, (1beta)-isomer|curarine diiodide, (1beta)-isomer|curarine diiodide, (1beta)-(+-)-isomer|curarine dichloride, (1'alpha)-isomer|curarine dichloride, (1beta)-isomer|curarine dihydroxide|curarine chloride iodide|curarine dichloride, (1beta)-(+-)-isomer|curarine, (1'alpha)-isomer|7',12'-dihydroxy-6,6'-dimethoxy-2,2,2',2'-tetramethyltubocuraranium|curarine dichloride|curarine diiodide",20
"10184","Foundations","Foundation",NA
"10185","Ethylenebis(dithiocarbamates)",NA,NA
"10186","potassium-chloride symporters","Slc12a4 protein, mouse|Slc12a5 protein, mouse|K-Cl cotransporter|KCC1 protein, Drosophila|KCC2 cotransporter|solute carrier family 12, member 4 protein, mouse|KCC1 cotransporter, mouse|KCC1 cotransporter|KCC2 protein, mouse|KCl cotransporter|potassium, chloride-cotransporter|solute carrier family 12 (potassium-chloride transporters), member 4 protein, human|KCC1 protein, human|K(+), Cl(-)-cotransporter|SLC12A4 protein, human",650
"10187","Stick resin",NA,35
"10188","Cytological Techniques","Cytologic Technics|Technics, Cytological|Technic, Cytologic|Cytologic Technic|Technic, Cytological|Cytological Technic|Techniques, Cytological|Cytological Technique|Cytological Technics|Technique, Cytological|Technics, Cytologic",NA
"10189","Crisponi syndrome","CNTF Receptor-Related Disorders|Sohar-Crisponi Syndrome|Cold-Induced Sweating Syndrome",10
"10190","sodium sulfite","sodium sulfite, 35S-labeled cpd|sodium sulphite|sodium sulfite, heptahydrate|sulfurous acid, disodium salt|sulfurous acid, sodium salt",254
"10191","Chronology as Topic","Chronology as Topics|Dates",NA
"10192","flavanone","flavanone, (+-)-isomer|(+-)-flavanone|flavanone, (R)-isomer|flavanone, 2-(14)C-labeled|flavanone, (S)-isomer",169
"10193","Tocolytic Agents","Agents, Tocolytic|Effect, Tocolytic|Tocolytic Effects|Tocolytics|Effects, Tocolytic|Tocolytic Effect",NA
"10194","zolimomab aritox","H65-RTA|CD5 Plus|XZ-CD5|XomaZyme-H65|Orthozyme CD5plus",7
"10195","Angina, Unstable","Preinfarction Syndrome, Myocardial|Anginas, Preinfarction|Unstable Angina Pectoris|Unstable Angina|Preinfarction Anginas|Anginas, Unstable|Myocardial Preinfarction Syndrome|Unstable Angina Pectori|Preinfarction Angina|Angina at Rest|Syndrome, Myocardial Preinfarction|Angina Pectori, Unstable|Angina Pectoris, Unstable|Angina, Preinfarction|Preinfarction Syndromes, Myocardial|Syndromes, Myocardial Preinfarction|Myocardial Preinfarction Syndromes|Unstable Anginas",NA
"10196","Keratan Sulfate","Keratosulfate|Sulfate, Keratan",NA
"10197","Agoraphobia","Agoraphobias",NA
"10198","Nondisjunction, Genetic","Nondisjunctions, Genetic|Genetic Non-Disjunction|Genetic Nondisjunctions|Non-Disjunction, Genetic|Non-Disjunctions, Genetic|Genetic Non Disjunction|Genetic Non-Disjunctions|Non Disjunction, Genetic|Genetic Nondisjunction",NA
"10199","Streptococcus milleri Group","Streptococcus milleri",NA
"10200","Root Canal Obturation","Obturations, Endodontic|Endodontic Obturations|Canal Obturations, Root|Obturation, Root Canal|Obturation, Endodontic|Root Canal Obturations|Endodontic Obturation|Canal Obturation, Root|Obturations, Root Canal",NA
"10201","Embryonic Stem Cells","Cell, Embryonic Stem|Stem Cells, Embryonic|Cells, Embryonic Stem|Stem Cell, Embryonic|Embryonic Stem Cell",NA
"10202","griseusin","griseusin F|griseusins|Griseusin|griseusin G|griseusin B|griseusin C|griseusin A",8
"10203","Bohring syndrome","Bohring-Opitz syndrome|Opitz trigonocephaly-like syndrome",8
"10204","RNA, Archaeal","Archaeal RNA",NA
"10205","Thiourea",NA,NA
"10206","Encephalitis, Arbovirus","Encephalitides, Mosquito-Borne|Mosquito-Borne Encephalitides|Encephalitides, Arthropod-Borne|Viral Encephalitis, Arthropod-Borne|Arbovirus Encephalitis|Arthropod-Borne Viral Encephalitides|Mosquito Borne Encephalitis|Viral Encephalitis, Arthropod Borne|Arthropod-Borne Encephalitides|Encephalitis, Arthropod Borne|Encephalitis, Arthropod-Borne|Arthropod-Borne Viral Encephalitis|Viral Encephalitides, Arthropod-Borne|Epidemic Encephalitides|Arthropod Borne Encephalitis|Arbovirus Encephalitides|Encephalitis, Arthropod-Borne Viral|Encephalitides, Epidemic|Mosquito-Borne Encephalitis|Encephalitis, Mosquito-Borne|Encephalitis, Epidemic|Epidemic Encephalitis|Arthropod-Borne Encephalitis|Arthropod Borne Viral Encephalitis|Encephalitides, Arthropod-Borne Viral|Encephalitides, Arbovirus|Encephalitis, Mosquito Borne",NA
"10207","trioctyl phosphine oxide","Cyanex 921|tri-n-octylphosphine oxide|TOPO|trioctylphosphine oxide",87
"10208","Chi t I allergen","hemoglobin protein, Chironomus thummi|Chironomus thummi hemoglobin",13
"10209","kangquan",NA,4
"10210","Urease","Urea amidohydrolase|Amidohydrolase, Urea|Urea Amidohydrolase|Phytourease",NA
"10211","cetylsulfonic acid","cetylsulfonic acid, sodium salt|hexadecyl sulfonate|sodium cetylsulfate|sodium cetylsulphate|1-hexadecanesulfonic acid|hexadecanesulfonate",4
"10212","Encephalitis, St. Louis","Type C Lethargic Encephalitis|St. Louis Meningoencephalitis|Lethargic Encephalitis, Type C|Meningoencephalitides, St. Louis|Encephalitis, Saint Louis|St. Louis Meningoencephalitides|Saint Louis Encephalitis|Meningoencephalitis, St. Louis|Louis Meningoencephalitides, St.|St. Louis Viral Encephalitis|St. Louis Encephalitis|Encephalitis, Viral, St. Louis",NA
"10213","arthrin","monoubiquitinated actin",6
"10214","Keratitis, Dendritic","Dendritic Keratitis|Keratitis, Furrow|Keratitides, Dendritic|Furrow Keratitides|Keratitides, Furrow|Dendritic Keratitides|Furrow Keratitis",NA
"10215","enterotoxin A, Staphylococcal","staph enterotoxin A|exotoxin A, Staphylococcus aureus|Staphylococcal enterotoxin A|SEA exotoxin, Staphylococcus aureus",994
"10216","spisulosine","ES-285",19
"10217","IgA receptor","IgA FcR|IgA receptors|receptor, IgA|protein B",235
"10218","Tibial Fractures","Toddlers Fracture|Tibial Fracture|Toddler Fracture|Fracture, Toddler's|Fractures, Tibial|Segond Fracture|Fracture, Tillaux|Fracture, Tibial|Tillaux Fracture|Toddler's Fracture|Fracture, Segond",NA
"10219","tolyporphin","7,17-di(2-O-acetyl-3,6-dideoxy-xylo-hexopyranosyl)-7,8,17,18-tetrahydro-8,18-dioxo-2,7,13,17-tetramethyl-21H,2H-porphine",4
"10220","dendrobine","dendrobine hydrochloride",14
"10221","Thyroid (USP)","Thyroid Gland, Desiccated|Thyroideum Siccatum|Dried Thyroid|Extract, Dried Thyroid|Dried Thyroid Extract|Desiccated Thyroid Gland|Thyroid, Dried|Desiccated Thyroid Extract|Thyroid Extract, Dried|Thyroid Extract, Desiccated",NA
"10222","endozepine-like peptide ELP","ELP peptide",6
"10223","melanotan-II","L-Lysinamide, N-acetyl-L-norleucyl-L-alpha-aspartyl-L-histidyl-D-phenylalanyl-L-arginyl-L-tryptophyl-, cyclic (2-7)-peptide",132
"10224","Exocrine Glands","Gland, Exocrine|Exocrine Gland|Glands, Exocrine",NA
"10225","piroxicam cinnamate","Sinartrol|cinnoxicam|SPA-S 510",13
"10226","Vertebral Artery Dissection","Artery Dissection, Vertebral|Traumatic Vertebral Artery Dissection|Vertebral Artery Dissection, Traumatic|Dissecting Vertebral Artery Aneurysm|Dissections, Vertebral Artery|Spontaneous Vertebral Artery Dissection|Dissection, Vertebral Artery|Vertebral Artery Dissection, Spontaneous|Artery Dissections, Vertebral|Vertebral Artery Dissections",NA
"10227","perifosine","D-21266|D 21266|octadecyl-(1,1-dimethyl-4-piperidylio)phosphate",188
"10228","IgA Deficiency","Deficiencies, IgA|Deficiency, IgA|IgA Deficiencies",NA
"10229","Betazole","Dihydrochloride, Betazole|Betazole Dihydrochloride|Betazole Monohydrochloride|Lilly 96791|Monohydrochloride, Betazole|1H-Pyrazole-3-ethanamine|Histalog|Ametazole",NA
"10230","Pudendal Neuralgia","Neuropathy, Pudendal|Pudendal Neuropathy|Pudendal Canal Entrapment Syndrome|Pudendal Nerve Entrapments|Entrapment, Pudendal Nerve|Neuralgias, Pudendal|Neuralgia, Pudendal|Pudendal Neuropathies|Neuropathies, Pudendal|Pudendal Nerve Entrapment Syndrome|Pudendal Neuralgias|Entrapments, Pudendal Nerve|Nerve Entrapment, Pudendal|Pudendal Nerve Entrapment|Nerve Entrapments, Pudendal",NA
"10231","Heart Sounds","Sounds, Heart|Sound, Cardiac|Sounds, Cardiac|Cardiac Sound|Cardiac Sounds|Sound, Heart|Heart Sound",NA
"10232","Heart Diseases","Disease, Cardiac|Disease, Heart|Cardiac Disease|Diseases, Heart|Heart Disease|Cardiac Diseases|Diseases, Cardiac",NA
"10233","Tissue Kallikreins","Kallikrein, hK1|Tissue Kallikrein|Kallikrein, Prostate Specific|Human Glandular Kallikrein 2|Human Glandular Kallikrein 1|Kallikrein, hK2|Glandular Kallikrein 1|Kallikrein 2|Human Glandular Kallikreins|Pancreatic Kallikrein|hK2 Kallikrein|Kallikreins, Human Glandular|Kallikrein 1|Kallikreins, Tissue|Kallikrein, Tissue|Kallikrein, Urinary|Glandular Kallikrein-1|Kallikrein, Glandular|Specific Kallikrein, Prostate|Kallikrein, Pancreatic|Kallikrein-1, Glandular|Glandular Kallikreins, Human|hK1 Kallikrein|Urinary Kallikrein|Glandular Kallikrein|Prostate Specific Kallikrein",NA
"10234","psoberan","psorberan",4
"10235","preprolactin","Prolactin, pre-",87
"10236","mosapramine","3-chloro-5-(3-(2-oxo-1,2,3,5,6,7,8,8a-octahydroimidazo(1,2-a)pyridine-3-spiro-4'-piperidino)propyl)-10,11-dihydro-5H-dibenz(b,f)azepine|Y-516|Y 516|Spiro(imidazo(1,2-a)pyridine-3(2H),4'-piperidin)-2-one, 1'-(3-(3-chloro-10,11-dihydro-5H-dibenz(b,f)azepin-5-yl)propyl)hexahydro-, dihydrochloride",13
"10237","poldine",NA,23
"10238","acetylstrophanthidin","acetylstrophantindin|3 beta,5,14,19-tetrahydroxy-5 beta-card-20(22)- enolide 19-acetate",119
"10239","Gynatresia","Syndrome, Asherman|Intrauterine Synechiae|Synechiae, Uterine|Gynatresias|Asherman Syndrome|Syndrome, Asherman's|Uterine Synechiae|Ashermans Syndrome|Asherman's Syndrome|Synechiae, Intrauterine",NA
"10240","Lymphoma, Primary Effusion","Lymphomas, Primary Effusion|Primary Effusion Lymphoma|Effusion Lymphomas, Primary|Primary Effusion Lymphomas|Effusion Lymphoma, Primary",NA
"10241","Cystoscopes","Cystoscope",NA
"10242","ammodytoxin A",NA,35
"10243","Panicum","Millet, Common|Panicum miliaceum|Switchgrass|Little Millet|Common Millet|Millet, Proso|Panicum miliare|Proso Millet|Broomcorn Millet|Proso Millets|Switchgrasses|Millet, Little|Millets, Proso|Millet, Broomcorn|Panicum virgatum|Panicgrass|miliaceums, Panicum",NA
"10244","Spectrophotometry",NA,NA
"10245","Portoenterostomy, Hepatic","Hepatic Portoenterostomy|Hepatic Portoenterostomies|Portoenterostomies, Hepatic",NA
"10246","Intrauterine Devices","IUD, Contraceptive|Unmedicated IUDs|Devices, Intrauterine Contraceptive|Contraceptive IUD|Contraceptive Devices, Intrauterine|IUD, Unmedicated|Intrauterine Contraceptive Device|Intrauterine Device|Device, Intrauterine Contraceptive|Contraceptive Device, Intrauterine|Devices, Intrauterine|Unmedicated IUD|Device, Intrauterine|IUDs, Contraceptive|Contraceptive IUDs|Intrauterine Contraceptive Devices",NA
"10247","poly(d-epsilon A)","poly(deoxy-1,N(6)-ethenoadenylic acid)",6
"10248","Streptococcus intermedius",NA,NA
"10249","coralline sulfate",NA,5
"10250","patulolide B","Oxacyclododec-3-ene-2,5-dione, 12-methyl-, (R-(Z))-",4
"10251","calciductin",NA,6
"10252","preflagellin",NA,8
"10253","prenylamine lactate",NA,6
"10254","New South Wales",NA,NA
"10255","calophyllolid","calophyllolide|5-methoxy-2,2-dimethyl-6-(2-methyl-1-oxo-2- butenyl)-10-phenyl-2H,8H-benzo(1,2-B':3,4-B')-dipyran-8-one",7
"10256","Antibody Affinity","Affinities, Antibody|Antibody Avidity|Affinity, Antibody|Avidity, Antibody|Antibody Avidities|Avidities, Antibody|Antibody Affinities",NA
"10257","villin","villin-like protein, Drosophila|quail protein, Drosophila|qua protein, Drosophila",555
"10258","durafill bond",NA,4
"10259","Myrsinaceae","Maesa|Oncostemon|Rapanea|Oncostemons|Myrsines|Aegiceras|Maesas|Aegicera|Myrsine|Rapaneas",NA
"10260","Osteosarcoma, Juxtacortical","Juxtacortical Osteosarcomas|Osteosarcomas, Juxtacortical|Juxtacortical Osteosarcoma",NA
"10261","GSK peptide","Pro-Leu-Arg-Arg-Thr-Leu-Ser-Val-Ala-Ala",7
"10262","butanediol diacrylate","2-propenoic acid, 1,4-butanediyl ester",5
"10263","Ikaros Transcription Factor","Transcription Factor, Ikaros|Ikaros Protein",NA
"10264","formiminoglycine",NA,5
"10265","Fecal Impaction","Impaction, Fecal|Fecalith|Feces, Impacted",NA
"10266","dexbrompheniramine","dexbrompheniramine maleate|Disophrol",24
"10267","fumarprotocetraric acid","fumarprotocetraric acid, monopotassium salt, (E)-isomer",7
"10268","nemifitide ditriflutate","4-fluoro-L-phenylalanyl-trans-4-hydroxy-L-prolyl-L-arginyl-glycyl-tryptophanamide ditrifluoroacetate|INN00835|INN-00835|INN 00835",10
"10269","thiobutabarbital","Inactin|thiobutabarbital, monosodium salt|5-sec-butyl-5-ethyl-2-thiobarbituric acid|Brevinarcon|5-ethyl-5-(1-methylpropyl)-2-thiobarbiturate, sodium salt|Brevenal (Thiopental)",111
"10270","Leukemic Infiltration","Leukemic Infiltrations|Infiltrations, Leukemic|Infiltration, Leukemic",NA
"10271","Begomovirus","Squash leaf curl virus|Begomoviruses",NA
"10272","Epiblepharon of Upper Lid","Epiblepharon of Lower Lid",14
"10273","oxadin","compound C 6|2-(4-uracilmethylene)-5-(4-bromophenyl)-6-hydroxy-2,3-dihydro-(6H)-1,3,4-oxadiazine|compound C-6",10
"10274","pressinoic acid","L-cysteinyl-tyrosyl-phenylalanyl-glutaminyl-asparaginyl-cysteine-cyclic (1-6)-disulfide",7
"10275","triptolide","PG490",626
"10276","polyisohexylcyanoacrylate","PIHCA",23
"10277","Cementation","Cementations",NA
"10278","Rhabdomyoma","Rhabdomyomas",NA
"10279","Allergy and Immunology","Immunology and Allergy|Immunology|Allergy, Immunology|Specialty, Allergy|Allergy Specialty|Immunology, Allergy",NA
"10280","Nucleus Raphe Obscurus","Raphe Obscurus, Nucleus|Nucleus Obscurus Raphe|Obscurus, Nucleus Raphes|Raphes Obscurus, Nucleus|Obscurus, Nucleus Raphe|Obscurus Raphes, Nucleus|Raphe, Nucleus Obscurus|Nucleus Raphes Obscurus|Obscurus Raphe, Nucleus|Nucleus, Raphe Obscurus|Raphes, Nucleus Obscurus|Obscurus Nucleus, Raphe|Raphe Obscurus Nucleus|Nucleus Obscurus Raphes",NA
"10281","Indapamide","S1520|S 1520|SE-1520|SE1520|SE 1520|S-1520|Metindamide|Benzamide, 3-(aminosulfonyl)-4-chloro-N-(2,3-dihydro-2-methyl-1H-indol-1-yl)-",NA
"10282","nitritocobalamin","NO2-Cbl|nitrocobalamin",4
"10283","Cerulenin","2,3-Epoxy-4-oxo-7,10-dodecadienoylamide|Oxiranecarboxamide, 3-(1-oxo-4,7-nonadienyl)-, (2R-(2alpha,3alpha(4E,7E)))-",NA
"10284","talazoparib","BMN 673",15
"10285","Electrodes, Implanted","Implantable Electrodes|Electrode, Implanted Stimulation|Stimulation Electrodes, Implantable|Implanted Stimulation Electrodes|Implantable Electrode|Implanted Electrode|Implantable Stimulation Electrode|Implanted Electrodes|Implantable Stimulation Electrodes|Electrode, Implantable|Implanted Stimulation Electrode|Electrodes, Implanted Stimulation|Electrode, Implantable Stimulation|Stimulation Electrode, Implantable|Electrodes, Implantable Stimulation|Stimulation Electrodes, Implanted|Electrodes, Implantable|Stimulation Electrode, Implanted|Electrode, Implanted",NA
"10286","Leprosy, Tuberculoid","Leprosies, Neural|Leprosies, Tuberculoid|Leprosy, Macular|Macular Leprosy|Tuberculoid Leprosies|Leprosies, Macular|Leprosy, Neural|Tuberculoid Leprosy|Macular Leprosies|Neural Leprosy|Neural Leprosies",NA
"10287","pentabromodiphenyl ether","2,2',3,4,4'-pentabromodiphenyl ether|DE 71|2,2',4,4',6-pentabromodiphenyl ether|PBDE 85|2,2',4,4',5-pentaBDE|PBDE 99|2,2',4,4',5-pentabromodiphenyl ether|DE-71|PBDE 100|PBDE",392
"10288","vaxigrip",NA,35
"10289","Amino Acid Substitution","Substitutions, Amino Acid|Amino Acid Substitutions|Substitution, Amino Acid",NA
"10290","dermcidin","DCD peptide|SPP peptide|DCD-1 peptide|cachexia-associated protein, human|survival-promoting peptide|Y-P30 peptide|DSEP peptide, human|diffusible survival evasion peptide, human|preproteolysin protein, human|DCD protein, human|HCAP neoplasm protein, human",78
"10291","Cnicus","Thistles, Blessed|Blessed Thistle|Cardo santo|Cardo-santo|Blessed Thistles|Cardo-santos|Thistle, Blessed",NA
"10292","methyl bensulfuron","methyl bensulfuron, lithium salt|2-((((((4,6-dimethoxy-2-pyrimidinyl)amino)carbonyl)amino)sulfonyl)methyl)benzoic acid methyl ester|bensulphuron-methyl|bensulfuron methyl|Londax",47
"10293","pentamorphone","RX-77989|RX 77989|n-pentylaminomorphinone|Morphinan-6-one, 7,8-didehydro-4,5-epoxy-3-hydroxy-17-methyl-14-(pentylamino)-, (5alpha)-|RX77989",8
"10294","Phrenology",NA,NA
"10295","Cytochalasin B","24-Oxa(14)cytochalasa-6(12),13,21-triene-1,23-dione, 7,20-dihydroxy-16-methyl-10-phenyl-, (7S,13E,16R,20R,21E)-|Phomin",NA
"10296","tamarixetin","3-O-alpha-L-rhamnopyranosyl-1-2-beta-D-glucopyranoside|3-O-rhamnopyranosyl-1-2-glucopyranoside",21
"10297","Cubital Tunnel Syndrome","Tunnel Syndrome, Cubital|Tunnel Syndromes, Cubital|Ulnar Nerve Compression, Cubital Tunnel|Syndrome, Cubital Tunnel|Cubital Tunnel Syndromes|Ulnar Nerve Entrapment, Elbow|Syndromes, Cubital Tunnel",NA
"10298","Fundus Oculi",NA,NA
"10299","Malates",NA,NA
"10300","lactinex",NA,6
"10301","Skin Diseases, Metabolic","Diseases, Metabolic Skin|Metabolic Skin Diseases|Disease, Metabolic Skin|Skin Disease, Metabolic|Metabolic Skin Disease",NA
"10302","Propanolamines","Aminopropanols",NA
"10303","Canertinib","CI 1033|CI1033|CI-1033",70
"10304","dehydroleucodine","dehydroleucodin",38
"10305","potassium cyanate","KNCO|KCNO|potassium cyanate, 18O-labeled|potassium isocyanate|potassium cyanate, 13C,15N-labeled|KOCN|cyanic acid, potassium salt|potassium cyanate, 15N-labeled|potassium cyanate, 13C-labeled",108
"10306","perfluoropropionic acid","pentafluoropropionic acid|perfluoropropionate|perfluoropropionic acid, sodium salt|perfluoropropionic acid, potassium salt|perfluoropropionic acid, silver (1+) salt",29
"10307","banlangen","radix isatidis|bei-banlangen",21
"10308","Compartment Syndromes","Syndrome, Compartment|Syndromes, Compartment|Compartment Syndrome",NA
"10309","napelline",NA,7
"10310","Focal Nodular Hyperplasia","Hyperplasia, Focal Nodular|Focal Nodular Hyperplasias|Hyperplasias, Focal Nodular",NA
"10311","Terminology","Nomenclature",NA
"10312","Lymphoid Progenitor Cells","Lymphoid Progenitors, Common|Lymphoid Stem Cells|Lymphoid Stem Cell|Stem Cells, Lymphoid|Cells, Lymphoid Stem|Progenitor Cell, Lymphoid|Lymphoid Progenitor Cell|Lymphoid Progenitor, Common|Cell, Lymphoid Progenitor|Stem Cell, Lymphoid|Common Lymphoid Progenitor|Common Lymphoid Progenitors|Cell, Lymphoid Stem|Progenitor, Common Lymphoid|Cells, Lymphoid Progenitor|Progenitor Cells, Lymphoid|Progenitors, Common Lymphoid",NA
"10313","iodo-LDL",NA,4
"10314","Eupergit C",NA,35
"10315","Arsenazo III","2,7-Naphthalenedisulfonic acid, 3,6-bis((2-arsonophenyl)azo)-4,5-dihydroxy-",NA
"10316","islet cell antibody","islet cell surface antibodies|islet cell cytoplasmic antibodies",840
"10317","alpha-ketoglutaramate","2-oxoglutaramate",10
"10318","tityustoxin","Tc1 venom|TsTX-K alpha|tityustoxin K alpha|alphaktx 13.1",116
"10319","Mutation Accumulation","Accumulation, Spontaneous Mutation|Mutation Accumulation, Spontaneous|Spontaneous Mutation Accumulation|Spontaneous Mutation Accumulations|Mutation Accumulations|Mutation Accumulations, Spontaneous|Accumulations, Mutation|Accumulations, Spontaneous Mutation|Accumulation, Mutation",NA
"10320","Fatty Acids, Unsaturated","Fatty Acids, Polyunsaturated|Unsaturated Fatty Acids|Acids, Polyunsaturated Fatty|Polyunsaturated Fatty Acids|Acids, Unsaturated Fatty",NA
"10321","Constitution and Bylaws","Bylaw|Bylaws|Constitution|Constitutions|Bylaws and Constitution",NA
"10322","gamma-cyclodextrin","cyclomaltooctaose|cyclooctaamylose|cyclomalto-octaose",287
"10323","Conjunctivitis, Allergic","Conjunctivitis, Atopic|Giant Papillary Conjunctivitides|Allergic Conjunctivitides|Papillary Conjunctivitides, Giant|Atopic Conjunctivitides|Vernal Conjunctivitis|Keratoconjunctivitides, Vernal|Conjunctivitides, Giant Papillary|Papillary Conjunctivitis, Giant|Vernal Keratoconjunctivitis|Vernal Keratoconjunctivitides|Conjunctivitis, Giant Papillary|Conjunctivitides, Atopic|Conjunctivitis, Vernal|Allergic Conjunctivitis|Conjunctivitides, Vernal|Conjunctivitides, Allergic|Atopic Conjunctivitis|Keratoconjunctivitis, Vernal|Vernal Conjunctivitides|Giant Papillary Conjunctivitis",NA
"10324","Saguinus","Marmoset, Cotton-Top|Marmoset, Long-Tusked|Long-tusked Tamarins|Cotton-Top Marmosets|Tamarins, Long tusked|Marmoset, Cotton Top|Long-Tusked Marmosets|Cotton-Top Marmoset|Marmoset, Long Tusked|Tamarin, Long-tusked|Saguinus oedipus|Long-Tusked Marmoset|Marmosets, Long-Tusked|Tamarins, Long-tusked|Long-tusked Tamarin|Marmosets, Cotton-Top",NA
"10325","neuronostatin, human",NA,4
"10326","diphenyl phosphite",NA,7
"10327","Infectious bronchitis virus","Infectious Bronchitis Virus, Avian|bronchitis viruses, Infectious|Infectious bronchitis viruses|Avian Infectious Bronchitis Virus",NA
"10328","Myosin Type II","Myosin II",NA
"10329","YYDPETGTWY","CLN025",8
"10330","Eupleridae","Mongoose, Ring-Tailed|Brown-Tailed Mongoose|Mongoose, Malagasy|Malagasy Mongoose|Salanoia concolor|Malagasy Civet|Brown-Tailed Mongooses|Mongoose, Ring Tailed|Galidia Elegans|Mongooses, Ring-Tailed|Mongoose, Brown Tailed|Ring-Tailed Mongoose|Mongoose, Brown-Tailed|Civet, Malagasy|Ring-Tailed Mongooses|Fossa fossana|Mongooses, Brown-Tailed",NA
"10331","Phellodendron","Corktrees|Corktree|Phellodendrons",NA
"10332","Onagraceae","Ludwigias|Ludwigia",NA
"10333","Proto-Oncogene Proteins c-fos","p55 c fos|Proto Oncogene Products c fos|c-fos Proteins|Fos B Protein|Proto Oncogene Proteins c fos|c fos Proteins|Proto-Oncogene Proteins fos|p55 c-fos|fos Proto Oncogene Proteins|FRAs|Fos Related Antigens|Fos-Related Antigens|fos Proto-Oncogene Proteins|Proto-Oncogene Products c-fos|Proto Oncogene Proteins fos|Antigens, Fos-Related|p55(c-fos)",NA
"10334","ferric citrate","ferric citrate trihydrate|ferric citrate hydrate|zerenex|ferric citrate, iron salt, 59Fe-labeled cpd|ferric citrate anhydrous|1,2,3-propanetricarboxylic acid, 2-hydroxy-, iron(3+) salt (1:1)|ferric citrate dihydrate|ferric citrate iron(+3) salt|ferric citrate, 59Fe-labeled cpd|iron(III) citrate|ferric-citric acid|JTT-751",328
"10335","hydroxyibuprofen",NA,7
"10336","DNA Transposable Elements","Tn Elements|Sequence Element, Insertion|DNA Transposons|Element, IS|Element, Tn|DNA Insertion Element|Insertion Elements, DNA|Elements, IS|Tn Element|Transposable Element|Elements, DNA Transposable|Insertion Sequence Elements|Transposon, DNA|Transposable Element, DNA|Elements, Transposable|DNA Transposable Element|Elements, Tn|DNA Transposon|Element, Transposable|IS Elements|Elements, Insertion Sequence|Transposable Elements, DNA|Element, DNA Transposable|Insertion Element, DNA|IS Element|Elements, DNA Insertion|Transposons, DNA|DNA Insertion Elements|Insertion Sequence Element|Element, DNA Insertion|Sequence Elements, Insertion|Transposable Elements|Element, Insertion Sequence",NA
"10337","Slavery","Enslavement|Slaveholding|Slaveholdings|Enslavements",NA
"10338","foramidocillin","4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 6-(((3,4-dihydroxyphenyl)(((4-ethyl-2,3-dioxo-1-piperazinyl)carbonyl)amino)acetyl)amino)-6-(formylamino)-3,3-dimethyl-7-oxo-, monosodium salt, (2S-(2alpha,5alpha,6beta(S*)))-|sodium 6 beta-(D-2-(4-ethyl-2,3-dioxopiperazine-1-yl)carbonylamino)-2-(3,4-dihydroxyphenyl)acetamido-6 alpha-formamido-penicillinate|BRL 36650|BRL-36650|formidacillin|fomidacillin",8
"10339","Thyroidectomy","Thyroidectomies",NA
"10340","Vitix",NA,5
"10341","Receptors, Gonadotropin","Gonadotropins Receptors|Gonadotropin Receptors|Receptor, Pituitary Gonadotropin|Receptors, Pituitary Gonadotropin|Receptor, Gonadotopin|Menotropin Receptors|Pituitary Gonadotropin Receptors|Receptors, Gonadotropins|Gonadotropin Receptors, Pituitary|Pituitary Gonadotropin Receptor|Receptors, Menotropin|Gonadotopin Receptor|Gonadotropin Receptor, Pituitary",NA
"10342","rutaevin",NA,4
